id,lactnum,dinmilk,datehosp,teat,trtflag,cultflag,mastflag,culttype,datehosp2,trtremast
38250,4,100,2021-03-19,LR,1,1,1,GN,,
38300,4,51,2021-01-03,RF,1,1,1,GP,,
38301,4,23,2021-02-06,LF,1,1,1,GP,,
38338,4,26,2021-04-01,RF,0,0,0,NG,,
38350,3,232,2021-02-05,LR,1,1,1,MX,,
38379,4,63,2021-03-02,RR,0,0,0,NG,,
38384,3,171,2021-01-28,RR,1,1,1,GN,,
38402,3,239,2021-02-05,RF,1,1,1,GP,,
38402,3,253,2021-02-19,LF,1,1,1,GN,,
38434,4,99,2021-02-16,LR,1,1,1,GP,,
38439,4,13,2021-01-05,RR,1,1,1,GP,2021-01-08,SPECT5RR
38439,4,13,2021-01-05,RR,1,1,1,GP,2021-03-26,SPECT5LR
38439,4,69,2021-03-02,RR,0,0,0,NG,2021-01-08,SPECT5RR
38439,4,69,2021-03-02,RR,0,0,0,NG,2021-03-26,SPECT5LR
38439,4,90,2021-03-23,LR,1,1,1,GP,2021-01-08,SPECT5RR
38439,4,90,2021-03-23,LR,1,1,1,GP,2021-03-26,SPECT5LR
38458,3,150,2021-01-30,LF,1,1,1,GP,,
38458,3,162,2021-02-11,LF,1,1,1,GP,,
38458,3,183,2021-03-04,LF,1,1,1,GP,,
38459,4,54,2021-03-12,RF,1,1,1,GN,,
38488,4,116,2021-03-28,LF,1,1,1,GP,,
38506,4,46,2021-01-28,RF,0,0,0,NG,,
38521,3,363,2021-04-01,RR,1,1,1,GP,,
38535,3,196,2021-03-07,LF,0,0,0,NG,2021-01-13,SPECT5LF
38535,3,196,2021-03-07,LF,0,0,0,NG,2021-01-22,SPECT5LF
38535,3,221,2021-04-01,LF,0,0,0,NG,2021-01-13,SPECT5LF
38535,3,221,2021-04-01,LF,0,0,0,NG,2021-01-22,SPECT5LF
38551,4,105,2021-02-06,RF,1,1,1,GN,,
38564,4,39,2021-01-23,RF,1,1,1,MX,2021-01-26,SPECT5RF
38580,3,211,2021-01-12,RF,1,1,1,GP,,
38580,3,246,2021-02-16,RF,1,1,1,GP,,
38663,4,92,2021-02-22,RF,1,1,1,GP,,
38687,4,12,2021-01-07,LR,1,1,1,GP,,
38759,3,135,2021-01-07,LF,1,1,1,GP,,
38848,3,237,2021-01-25,LF,0,0,0,NG,,
38850,3,57,2021-02-11,LR,0,0,0,NG,,
38850,3,71,2021-02-25,LR,1,1,1,GP,,
38850,3,108,2021-04-03,LR,1,1,1,GP,,
38862,4,14,2021-03-30,LF,1,1,1,GN,2021-04-02,SPECT5
38953,3,144,2021-01-08,RR,0,0,0,NG,,
39062,4,31,2021-03-01,RF,1,1,1,GP,,
39074,3,117,2021-01-08,LR,1,1,1,GP,2021-01-11,SPECT5LR
39081,3,204,2021-01-12,RF,1,1,1,GP,,
39086,3,182,2021-02-22,LF,1,1,1,GP,,
39091,4,27,2021-03-19,RF,0,0,0,NG,,
39182,3,154,2021-01-08,LR,1,1,1,GP,,
39201,3,220,2021-01-07,LF,0,0,0,NG,,
39226,3,,2020-12-31,,1,1,1,GP,2021-01-12,SPECT5RR
39256,3,145,2021-01-01,RF,1,1,1,GP,,
39256,3,160,2021-01-16,RF,1,1,1,GP,,
39256,3,171,2021-01-27,RF,0,0,0,NG,,
39331,3,213,2021-02-16,RF,1,1,1,GP,,
39331,3,233,2021-03-08,RF,1,1,1,GP,,
39341,3,135,2021-01-08,LF,0,0,0,NG,,
39344,3,107,2021-02-12,LR,0,0,0,NG,,
39354,3,207,2021-03-23,LF,0,0,0,NG,,
39376,3,128,2021-01-07,RF,1,1,1,GP,2021-01-10,SPECT5RF
39376,3,142,2021-01-21,RF,0,0,0,NG,2021-01-10,SPECT5RF
39378,3,33,2021-03-03,LR,0,0,0,NG,2021-02-04,SPECT5LR
39385,3,70,2021-03-19,RF,1,1,1,GN,,
39399,3,160,2021-01-28,RF,1,1,1,GP,,
39434,3,172,2021-04-06,RF,0,0,0,NG,,
39467,3,,2020-12-31,,1,1,1,GP,,
39467,3,95,2021-03-10,LF,0,0,0,NG,,
39470,3,94,2021-01-07,LF,0,0,0,NG,2021-01-21,SPECT5RF
39470,3,105,2021-01-18,RF,1,1,1,GP,2021-01-21,SPECT5RF
39523,3,141,2021-01-29,RF,1,1,1,GP,,
39527,3,90,2021-01-21,RF,1,1,1,MX,2021-01-24,SPECT5RF
39542,3,102,2021-01-27,LR,0,0,0,NG,,
39554,3,297,2021-03-24,RR,1,1,1,GN,2021-03-27,SPECT5RR
39582,3,,2020-12-31,,1,1,1,GP,,
39600,3,179,2021-03-25,RF,0,0,0,NG,,
39607,3,140,2021-01-27,LF,1,1,1,GP,2021-02-11,SPECT5LF
39607,3,152,2021-02-08,LF,0,0,0,NG,2021-02-11,SPECT5LF
39607,3,174,2021-03-02,LF,1,1,1,MX,2021-02-11,SPECT5LF
39626,3,149,2021-01-19,RR,1,1,1,GP,,
39636,3,85,2021-02-02,LF,0,0,0,NG,,
39636,3,144,2021-04-02,RF,1,1,1,GP,,
39653,3,188,2021-01-20,RF,1,1,1,GN,,
39662,3,95,2021-03-11,LR,0,0,0,NG,,
39673,3,190,2021-01-16,LR,0,0,0,NG,,
39674,3,3,2021-02-26,RR,1,1,1,MX,,
39678,3,224,2021-02-15,LF,1,1,1,GP,,
39678,3,241,2021-03-04,LF,0,0,0,NG,,
39697,3,130,2021-01-08,LR,0,0,0,NG,,
39715,3,205,2021-02-02,RF,1,1,1,GP,2021-02-05,SPECT5RR
39727,3,88,2021-01-25,LR,1,1,1,GP,2021-01-28,SPECT5LR
39727,3,88,2021-01-25,LR,1,1,1,GP,2021-02-22,SPECT5LR
39727,3,113,2021-02-19,LR,1,1,1,GP,2021-01-28,SPECT5LR
39727,3,113,2021-02-19,LR,1,1,1,GP,2021-02-22,SPECT5LR
39738,3,234,2021-02-26,RR,0,0,0,NG,,
39764,3,,2020-12-31,,1,1,1,GP,2021-01-03,SPECT5LF
39768,3,120,2021-02-09,RR,1,1,1,GN,,
39816,2,381,2021-01-12,RF,0,0,0,NG,,
39845,3,129,2021-01-09,RR,1,1,1,MX,,
39853,3,224,2021-01-21,LR,1,1,1,GP,,
39869,3,195,2021-04-01,RF,0,0,0,NG,,
39874,3,97,2021-01-25,RF,1,1,1,GP,,
39888,3,70,2021-01-08,RR,1,1,1,GP,,
39963,3,199,2021-03-06,RR,1,1,1,GP,,
39986,3,111,2021-01-05,LF,1,1,1,GP,2021-01-08,SPECT5LF
40001,3,115,2021-03-04,LR,0,0,0,NG,,
40040,3,215,2021-04-01,RF,0,0,0,NG,,
40051,3,168,2021-01-15,RR,0,0,0,NG,,
40057,3,105,2021-02-15,LF,0,0,0,NG,,
40077,3,160,2021-01-06,RR,0,0,0,NG,,
40089,3,158,2021-02-14,LR,0,0,0,NG,,
40089,3,175,2021-03-03,LF,0,0,0,NG,,
40097,3,84,2021-01-16,RR,0,0,0,NG,,
40151,3,151,2021-02-15,RF,0,0,0,NG,2021-02-27,SPECT5LF
40151,3,171,2021-03-07,LR,0,0,0,NG,2021-02-27,SPECT5LF
40170,3,96,2021-02-15,RF,1,1,1,GP,,
40184,3,212,2021-03-27,RF,0,0,0,NG,,
40188,3,234,2021-04-06,RF,1,1,1,GN,,
40191,3,207,2021-01-12,LF,1,1,1,GP,,
40210,3,88,2021-01-12,LF,1,1,1,GP,,
40213,3,99,2021-01-15,LR,1,1,1,GP,,
40229,3,115,2021-02-05,RR,1,1,1,GN,,
40229,3,135,2021-02-25,LR,1,1,1,GP,,
40229,3,146,2021-03-08,RR,1,1,1,GP,,
40229,3,172,2021-04-03,RR,0,0,0,NG,,
40252,3,174,2021-01-21,RF,1,1,1,GP,2021-01-24,SPECT5RF
40262,3,78,2021-02-02,LF,1,1,1,GP,2021-02-05,SPECT5LF
40262,3,92,2021-02-16,LF,1,1,1,GP,2021-02-05,SPECT5LF
40263,3,98,2021-01-23,LF,1,1,1,GN,,
40263,3,111,2021-02-05,LF,1,1,1,GP,,
40292,3,3,2021-03-18,LF,1,1,1,MX,2021-04-01,SPECT5LF
40292,3,14,2021-03-29,LF,1,1,1,GP,2021-04-01,SPECT5LF
40304,3,170,2021-01-05,RR,1,1,1,GP,,
40324,3,200,2021-02-16,LR,1,1,1,GP,,
40324,3,225,2021-03-13,RF,1,1,1,GP,,
40342,3,24,2021-01-28,RR,0,0,0,NG,,
40342,3,88,2021-04-02,RR,0,0,0,NG,,
40371,3,221,2021-03-02,LF,1,1,1,GP,,
40373,3,98,2021-03-04,LF,1,1,1,GP,,
40382,3,78,2021-04-05,LF,0,0,0,NG,,
40391,3,128,2021-01-10,LF,1,1,1,GN,,
40426,3,93,2021-01-21,LR,1,1,1,GP,2021-01-06,SPECT5RF
40426,3,93,2021-01-21,LR,1,1,1,GP,2021-01-12,SPECT5LR
40426,3,93,2021-01-21,LR,1,1,1,GP,2021-01-24,SPECT5LR
40462,3,49,2021-02-20,RF,1,1,1,GP,,
40510,3,13,2021-01-27,RF,0,0,0,NG,,
40515,3,153,2021-02-12,LF,0,0,0,NG,,
40523,3,107,2021-01-11,RF,1,1,1,GP,,
40523,3,130,2021-02-03,RF,0,0,0,NG,,
40523,3,145,2021-02-18,LR,1,1,1,GP,,
40529,2,353,2021-03-02,LR,0,0,0,NG,,
40534,3,18,2021-02-07,RF,0,0,0,NG,,
40552,3,175,2021-03-05,RF,0,0,0,NG,,
40554,3,53,2021-01-25,LF,0,0,0,NG,2021-02-20,SPECT5LF
40554,3,76,2021-02-17,LF,1,1,1,GP,2021-02-20,SPECT5LF
40554,3,89,2021-03-02,LF,0,0,0,NG,2021-02-20,SPECT5LF
40554,3,124,2021-04-06,RF,0,0,0,NG,2021-02-20,SPECT5LF
40587,3,130,2021-01-26,RF,1,1,1,GP,2021-01-29,SPECT5RF
40587,3,193,2021-03-30,RF,1,1,1,GN,2021-01-29,SPECT5RF
40603,3,254,2021-03-14,RF,0,0,0,NG,,
40636,2,319,2021-02-22,LR,1,1,1,GP,,
40657,3,10,2021-04-02,LF,1,1,1,GP,,
40661,3,65,2021-03-10,RF,0,0,0,NG,,
40703,3,65,2021-03-12,LF,0,0,0,NG,,
40704,3,130,2021-01-16,RF,1,1,1,GP,,
40736,3,43,2021-02-02,LR,1,1,1,GP,2021-02-05,SPECT5LR
40736,3,43,2021-02-02,LR,1,1,1,GP,2021-03-06,SPECT5LF
40736,3,61,2021-02-20,LR,1,1,1,GP,2021-02-05,SPECT5LR
40736,3,61,2021-02-20,LR,1,1,1,GP,2021-03-06,SPECT5LF
40770,3,194,2021-03-05,RF,0,0,0,NG,,
40781,3,68,2021-01-26,RR,0,0,0,NG,,
40781,3,105,2021-03-04,RR,0,0,0,NG,,
40789,3,34,2021-02-09,LF,0,0,0,NG,,
40824,3,93,2021-03-07,RF,1,1,1,GN,2021-03-26,SPECT5RF
40883,2,209,2021-03-08,RF,0,0,0,NG,,
40883,2,219,2021-03-18,RF,0,0,0,NG,,
40902,3,13,2021-01-28,RF,1,1,1,GP,,
40965,3,84,2021-03-04,RF,1,1,1,GP,2021-03-07,SPECT5RF
40987,3,115,2021-02-27,RR,0,0,0,NG,,
41106,3,74,2021-02-23,LR,1,1,1,GP,,
41160,3,34,2021-03-13,LR,1,1,1,GP,,
41160,3,56,2021-04-04,LR,1,1,1,GN,,
41203,3,50,2021-02-19,LF,0,0,0,NG,,
41208,3,105,2021-01-25,LR,0,0,0,NG,,
