ID,LACT,FDAT,DIM,Date,HOSPM,Quarter,Dateok,MAST,Trt_MAST,Trt_dec,TRT,CULTURE,CULT_res,CULT_type,REMAST,Trt_REMAST
37637,4,12/1/2020,139,4/19/2021,HOSPM,RF,4/19/2021,MAST,NOTXTORF,NOTXT,0,CULTURE,NGRF,NG,,
37637,4,12/1/2020,185,6/4/2021,HOSPM,RF,6/4/2021,,,,,CULTURE,NGRF,NG,,
37637,4,12/1/2020,,,,,6/7/2021,MAST,SPECT3RF,SPECT,1,,,,,
37659,4,11/23/2020,174,5/16/2021,HOSPM,RR,5/16/2021,MAST,SPCT3RR,SPCT3,1,CULTURE,MXRR,MX,,
37696,4,1/24/2021,90,4/24/2021,HOSPM,LF,4/24/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GNLF,GN,,
37696,4,1/24/2021,109,5/13/2021,HOSPM,LF,5/13/2021,MAST,SP5LF,SP5LF,1,CULTURE,GNLF,GN,,
37711,4,2/23/2021,,,,,4/6/2021,MAST,SPCT3LR,SPCT3,1,CULTURE,GPLR,GP,,
37715,4,1/11/2021,116,5/7/2021,HOSPM,LF,5/7/2021,,,,,CULTURE,GNLF,GN,,
37715,4,1/11/2021,,,,,5/9/2021,MAST,SPCT3LF,SPCT3,1,,,,,
37715,4,1/11/2021,,,,,5/12/2021,,,,,,,,REMAST,SPECT5LF
37814,4,11/25/2020,217,6/30/2021,HOSPM,LR,6/30/2021,MAST,SPCT3LR,SPCT3,1,CULTURE,GPLR,GP,,
37880,4,7/16/2020,268,4/10/2021,HOSPM,RF,4/10/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
38045,4,10/18/2020,184,4/20/2021,HOSPM,LF,4/20/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GPLF,GP,,
38045,4,10/18/2020,,,,,4/23/2021,,,,,,,,REMAST,SPECT5LF
38215,4,2/13/2021,58,4/12/2021,HOSPM,RR,4/12/2021,MAST,SPCT3RR,SPCT3,1,CULTURE,GPRR,GP,,
38308,4,3/22/2021,,,,,7/4/2021,MAST,NOTXTO,NOTXT,0,,,,,
38308,4,3/22/2021,105,7/5/2021,HOSPM,RR,7/5/2021,,,,,CULTURE,NGRR,NG,,
38338,4,3/6/2021,,,,,5/24/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
38338,4,3/6/2021,80,5/25/2021,HOSPM,LF,5/25/2021,,,,,,,,,
38338,4,3/6/2021,117,7/1/2021,HOSPM,LF,7/1/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,MXLF,MX,,
38458,3,9/2/2020,280,6/9/2021,HOSPM,RF,6/9/2021,MAST,NOTXTO,NOTXT,0,CULTURE,GNRF,GN,,
38459,4,1/17/2021,100,4/27/2021,HOSPM,LF,4/27/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGLF,NG,,
38459,4,1/17/2021,110,5/7/2021,HOSPM,RF,5/7/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GPRF,GP,,
38459,4,1/17/2021,,,,,5/10/2021,,,,,,,,REMAST,SPECT5RF
38459,4,1/17/2021,140,6/6/2021,HOSPM,LR,6/6/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
38536,4,12/16/2020,158,5/23/2021,HOSPM,LF,5/23/2021,,,,,,,,,
38676,3,1/17/2021,86,4/13/2021,HOSPM,RF,4/13/2021,MAST,SP2RF,SP2RF,1,CULTURE,GNRF,GN,,
38694,3,12/19/2020,121,4/19/2021,HOSPM,LR,4/19/2021,MAST,NOTXTOLR,NOTXT,0,CULTURE,NGLR,NG,,
38792,4,12/22/2020,131,5/2/2021,HOSPM,LR,5/2/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
38799,4,11/27/2020,209,6/24/2021,HOSPM,BLOOD,6/24/2021,MAST,SPCT3LR,SPCT3,1,CULTURE,GPLR,GP,,
38799,4,11/27/2020,,,,,6/27/2021,,,,,,,,REMAST,SPECT5LR
38914,4,2/27/2021,55,4/23/2021,HOSPM,LR,4/23/2021,MAST,NOTXTOLR,NOTXT,0,CULTURE,NGLR,NG,,
38935,4,7/1/2021,,,,,7/3/2021,MAST,SPECT3RR,SPECT,1,,,,,
39005,3,6/3/2020,396,7/4/2021,HOSPM,RR,7/4/2021,,,,,CULTURE,GPRR,GP,,
39046,4,1/5/2021,107,4/22/2021,HOSPM,BLOOD,4/22/2021,,,,,,,,,
39046,4,1/5/2021,,,,,5/2/2021,MAST,SPECT3LR,SPECT,1,,,,,
39046,4,1/5/2021,,,,,5/5/2021,,,,,,,,REMAST,SPECT5LR
39046,4,1/5/2021,129,5/14/2021,HOSPM,LR,5/14/2021,MAST,NOTXTOLR,NOTXT,0,CULTURE,NGLR,NG,,
39197,3,7/5/2020,306,5/7/2021,HOSPM,RF,5/7/2021,MAST,NOTXTORF,NOTXT,0,CULTURE,NGRF,NG,,
39237,3,1/5/2021,101,4/16/2021,HOSPM,RF,4/16/2021,MAST,NOTXTORF,NOTXT,0,CULTURE,NGRF,NG,,
39350,3,8/4/2020,282,5/13/2021,HOSPM,LF,5/13/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GPRF,GP,,
39424,3,10/20/2020,239,6/16/2021,HOSPM,BLOOD,6/16/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
39434,3,10/16/2020,,,,,4/6/2021,MAST,NOTXTORF,NOTXT,0,CULTURE,NGRF,NG,,
39579,3,4/29/2021,56,6/24/2021,HOSPM,LF,6/24/2021,MAST,SP5LF,SP5LF,1,,,,,
39636,3,11/9/2020,162,4/20/2021,HOSPM,RF,4/20/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GPRF,GP,,
39638,3,10/13/2020,199,4/30/2021,HOSPM,RR,4/30/2021,MAST,SPCT3RR,SPCT3,1,CULTURE,GPRR,GP,,
39707,4,3/15/2021,87,6/10/2021,HOSPM,RF,6/10/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GPRF,GP,,
39797,3,12/5/2020,,,,,4/9/2021,MAST,NOTXTO,NOTXT,0,,,,,
39797,3,12/5/2020,126,4/10/2021,HOSPM,LR,4/10/2021,,,,,CULTURE,GNLR,GN,,
40033,3,12/30/2020,,,,,4/7/2021,MAST,SPECT3RR,SPECT,1,,,,,
40072,3,10/26/2020,251,7/4/2021,HOSPM,LF,7/4/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
40101,3,2/14/2021,102,5/27/2021,HOSPM,RF,5/27/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
40141,3,8/26/2020,264,5/17/2021,HOSPM,RR,5/17/2021,MAST,NOTXTORR,NOTXT,0,CULTURE,NGRR,NG,,
40141,3,8/26/2020,269,5/22/2021,HOSPM,RECULTUR,5/22/2021,,,,,CULTURE,GPRR,GP,,
40152,3,1/31/2021,78,4/19/2021,HOSPM,LF,4/19/2021,MAST,NOTXTOLF,NOTXT,0,CULTURE,NGLF,NG,,
40152,3,1/31/2021,126,6/6/2021,HOSPM,LR,6/6/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
40188,3,8/15/2020,,,,,4/6/2021,MAST,SP2,SP2,1,CULTURE,GNRF,GN,,
40221,3,9/12/2020,296,7/5/2021,HOSPM,RR,7/5/2021,MAST,SP5RR,SP5RR,1,CULTURE,GNRR,GN,,
40240,3,9/16/2020,211,4/15/2021,HOSPM,RF,4/15/2021,MAST,SP2RF,SP2RF,1,CULTURE,GNRF,GN,,
40258,3,11/1/2020,176,4/26/2021,HOSPM,RR,4/26/2021,,,,,CULTURE,GNRR,GN,,
40262,3,11/16/2020,230,7/4/2021,HOSPM,RF,7/4/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
40262,3,11/16/2020,,,,,7/7/2021,,,,,,,,REMAST,SPECT5RF
40263,3,10/17/2020,177,4/12/2021,HOSPM,BLOOD,4/12/2021,MAST,NOTXTOLF,NOTXT,0,CULTURE,NGLF,NG,,
40263,3,10/17/2020,,,,,4/25/2021,MAST,SPECT3RF,SPECT,1,,,,,
40282,3,12/2/2020,194,6/14/2021,HOSPM,LR,6/14/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
40342,3,1/4/2021,120,5/4/2021,HOSPM,RR,5/4/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
40404,3,8/21/2020,291,6/8/2021,HOSPM,LR,6/8/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
40430,3,9/2/2020,232,4/22/2021,HOSPM,LF,4/22/2021,MAST,NOTXTOLF,NOTXT,0,CULTURE,NGLF,NG,,
40444,3,12/25/2020,,,,,6/20/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGRF,NG,,
40444,3,12/25/2020,178,6/21/2021,HOSPM,RF,6/21/2021,,,,,,,,,
40444,3,12/25/2020,179,6/22/2021,HOSPM,RF,6/22/2021,,,,,CULTURE,GPRF,GP,,
40444,3,12/25/2020,,,,,6/24/2021,,,,,,,,REMAST,SPECT5
40513,3,9/3/2020,232,4/23/2021,HOSPM,RF,4/23/2021,MAST,NOTXTO,NOTXT,0,CULTURE,GNRF,GN,,
40520,3,10/31/2020,159,4/8/2021,HOSPM,LR,4/8/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGLR,NG,,
40520,3,10/31/2020,226,6/14/2021,HOSPM,LF,6/14/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
40540,3,3/31/2021,,,,,5/18/2021,MAST,SPECT3,SPECT,1,,,,,
40554,3,12/3/2020,,,,,4/6/2021,MAST,NOTXTORF,NOTXT,0,CULTURE,NGRF,NG,,
40569,3,1/9/2021,129,5/18/2021,HOSPM,RR,5/18/2021,,,,,CULTURE,NGRR,NG,,
40587,3,9/18/2020,279,6/24/2021,HOSPM,RF,6/24/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GPLF,GP,,
40644,3,9/29/2020,255,6/11/2021,HOSPM,LR,6/11/2021,MAST,SPCT3LR,SPCT3,1,CULTURE,GPLR,GP,,
40644,3,9/29/2020,,,,,6/14/2021,,,,,,,,REMAST,SPECT5LR
40652,3,11/1/2020,248,7/7/2021,HOSPM,RF,7/7/2021,,,,,CULTURE,NG,NG,,
40655,3,10/28/2020,235,6/20/2021,HOSPM,LR,6/20/2021,MAST,SP5LR,SP5LR,1,CULTURE,GNLR,GN,,
40655,3,10/28/2020,,,,,6/24/2021,,,,,,,,REMAST,SPECT5LR
40657,3,3/23/2021,,,,,6/20/2021,,,,,CULTURE,GPLR,GP,,
40657,3,3/23/2021,90,6/21/2021,HOSPM,LR,6/21/2021,MAST,SPCT3LR,SPCT3,1,,,,,
40661,3,1/4/2021,182,7/5/2021,HOSPM,LR,7/5/2021,MAST,SPCT3LR,SPCT3,1,CULTURE,GPLR,GP,,
40681,3,10/10/2020,191,4/19/2021,HOSPM,RR,4/19/2021,MAST,SPCT3RR,SPCT3,1,CULTURE,MXRR,MX,,
40681,3,10/10/2020,204,5/2/2021,HOSPM,RR,5/2/2021,MAST,SPCT3RR,SPCT3,1,CULTURE,GPRR,GP,,
40681,3,10/10/2020,,,,,5/5/2021,,,,,,,,REMAST,SPECT5RR
40697,3,1/3/2021,163,6/15/2021,HOSPM,LR,6/15/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
40697,3,1/3/2021,182,7/4/2021,HOSPM,BLOOD,7/4/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GPRF,GP,,
40697,3,1/3/2021,,,,,7/7/2021,,,,,,,,REMAST,SPECT5RF
40736,3,12/21/2020,,,,,6/17/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
40736,3,12/21/2020,179,6/18/2021,HOSPM,LR,6/18/2021,,,,,,,,,
40746,3,11/25/2020,196,6/9/2021,HOSPM,RR,6/9/2021,MAST,NOTXTO,NOTXT,0,CULTURE,GNRR,GN,,
40879,3,3/14/2021,75,5/28/2021,HOSPM,RR,5/28/2021,MAST,NOTXTORR,NOTXT,0,CULTURE,NGRR,NG,,
40883,2,8/11/2020,280,5/18/2021,HOSPM,RR,5/18/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
40900,3,1/24/2021,86,4/20/2021,HOSPM,LF,4/20/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGLF,NG,,
40968,3,11/15/2020,218,6/21/2021,HOSPM,BLOOD,6/21/2021,,,,,,,,,
40973,3,1/20/2021,95,4/25/2021,HOSPM,RF,4/25/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGRF,NG,,
40978,3,11/6/2020,193,5/18/2021,HOSPM,RF,5/18/2021,,,,,CULTURE,NG,NG,,
40978,3,11/6/2020,,,,,5/19/2021,MAST,NOTXTO,NOTXT,0,,,,,
40978,3,11/6/2020,,,,,5/27/2021,,,,,,,,REMAST,SPECT5RF
40987,3,11/4/2020,161,4/14/2021,HOSPM,RR,4/14/2021,MAST,SP5RR,SP5RR,1,CULTURE,GNRR,GN,,
41026,3,12/13/2020,174,6/5/2021,HOSPM,RR,6/5/2021,,,,,,,,,
41026,3,12/13/2020,,,,,6/6/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
41044,3,1/23/2021,109,5/12/2021,HOSPM,RF,5/12/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGRF,NG,,
41073,3,12/6/2020,202,6/26/2021,HOSPM,LF,6/26/2021,MAST,NOTXTOLF,NOTXT,0,CULTURE,NGLF,NG,,
41183,3,1/14/2021,167,6/30/2021,HOSPM,RR,6/30/2021,,,,,CULTURE,GPRR,GP,,
41183,3,1/14/2021,,,,,7/1/2021,MAST,SPCT3RR,SPCT3,1,,,,,
41198,3,11/26/2020,144,4/19/2021,HOSPM,LF,4/19/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,GPLF,GP,,
41208,3,10/12/2020,187,4/17/2021,HOSPM,LR,4/17/2021,MAST,NOTXTOLR,NOTXT,0,CULTURE,NGLR,NG,,
41408,3,1/4/2021,,,,,4/6/2021,,,,,CULTURE,NGRF,NG,,
41408,3,1/4/2021,106,4/20/2021,HOSPM,RF,4/20/2021,,,,,CULTURE,NGRF,NG,,
41408,3,1/4/2021,,,,,5/5/2021,,,,,CULTURE,NG,NG,,
41408,3,1/4/2021,122,5/6/2021,HOSPM,RF,5/6/2021,,,,,,,,,
41413,3,10/9/2020,259,6/25/2021,HOSPM,LR,6/25/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGLR,NG,,
41413,3,10/9/2020,,,,,7/4/2021,,,,,,,,REMAST,SPECT5LR
41475,3,1/21/2021,150,6/20/2021,HOSPM,LF,6/20/2021,MAST,SP5LF,SP5LF,1,CULTURE,GNLF,GN,,
41475,3,1/21/2021,,,,,6/24/2021,,,,,,,,REMAST,SPECT5LF
41482,3,11/1/2020,242,7/1/2021,HOSPM,RF,7/1/2021,MAST,SP5RF,SP5RF,1,CULTURE,GNRF,GN,,
41532,3,12/20/2020,165,6/3/2021,HOSPM,LF,6/3/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGLF,NG,,
41532,3,12/20/2020,,,,,6/7/2021,,,,,,,,REMAST,SPECT5LF
41623,3,12/31/2020,103,4/13/2021,HOSPM,RR,4/13/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NGRR,NG,,
41644,3,12/29/2020,168,6/15/2021,HOSPM,BLOOD,6/15/2021,MAST,NOTXTO,NOTXT,0,CULTURE,NG,NG,,
41665,3,2/13/2021,110,6/3/2021,HOSPM,RF,6/3/2021,,,,,CULTURE,GNRF,GN,,
41665,3,2/13/2021,,,,,6/5/2021,MAST,SPCT3RF,SPCT3,1,,,,,
41727,3,3/1/2021,94,6/3/2021,HOSPM,LF,6/3/2021,,,,,,,,,
41727,3,3/1/2021,95,6/4/2021,HOSPM,LF,6/4/2021,MAST,SPCT3LF,SPCT3,1,CULTURE,MXLF,MX,,
41775,3,6/20/2021,1,6/21/2021,HOSPM,BLOOD,6/21/2021,,,,,,,,,
41824,3,3/6/2021,61,5/6/2021,HOSPM,RF,5/6/2021,,,,,,,,,
41830,3,2/8/2021,78,4/27/2021,HOSPM,RF,4/27/2021,MAST,SPCT3RF,SPCT3,1,CULTURE,GPRF,GP,,
41830,3,2/8/2021,132,6/20/2021,HOSPM,LF,6/20/2021,MAST,SP5LF,SP5LF,1,CULTURE,GNLF,GN,,
41830,3,2/8/2021,,,,,6/24/2021,,,,,,,,REMAST,SPECT5LF
