id,lactnum,dinmilk,datehosp,teat,trtflag,cultflag,mastflag,culttype,datehosp2,trtremast
40101,3,102,2021-05-27,RF,0,0,0,NG,,
40141,3,264,2021-05-17,RR,0,0,0,NG,,
40152,3,78,2021-04-19,LF,0,0,0,NG,,
40152,3,126,2021-06-06,LR,0,0,0,NG,,
40188,3,,2021-04-06,,1,1,1,GN,,
40221,3,296,2021-07-05,RR,1,1,1,GN,,
40240,3,211,2021-04-15,RF,1,1,1,GN,,
40262,3,230,2021-07-04,RF,0,0,0,NG,2021-07-07,SPECT5RF
40263,3,177,2021-04-12,BLOOD,0,0,0,NG,,
40282,3,194,2021-06-14,LR,0,0,0,NG,,
40342,3,120,2021-05-04,RR,0,0,0,NG,,
40404,3,291,2021-06-08,LR,0,0,0,NG,,
40430,3,232,2021-04-22,LF,0,0,0,NG,,
40444,3,,2021-06-20,,0,0,0,NG,2021-06-24,SPECT5
40513,3,232,2021-04-23,RF,0,1,0,GN,,
40520,3,159,2021-04-08,LR,0,0,0,NG,,
40520,3,226,2021-06-14,LF,0,0,0,NG,,
40554,3,,2021-04-06,,0,0,0,NG,,
40587,3,279,2021-06-24,RF,1,1,1,GP,,
40644,3,255,2021-06-11,LR,1,1,1,GP,2021-06-14,SPECT5LR
40655,3,235,2021-06-20,LR,1,1,1,GN,2021-06-24,SPECT5LR
40661,3,182,2021-07-05,LR,1,1,1,GP,,
40681,3,191,2021-04-19,RR,1,1,1,MX,2021-05-05,SPECT5RR
40681,3,204,2021-05-02,RR,1,1,1,GP,2021-05-05,SPECT5RR
40697,3,163,2021-06-15,LR,0,0,0,NG,2021-07-07,SPECT5RF
40697,3,182,2021-07-04,BLOOD,1,1,1,GP,2021-07-07,SPECT5RF
40736,3,,2021-06-17,,0,0,0,NG,,
40746,3,196,2021-06-09,RR,0,1,0,GN,,
40879,3,75,2021-05-28,RR,0,0,0,NG,,
40883,2,280,2021-05-18,RR,0,0,0,NG,,
40900,3,86,2021-04-20,LF,0,0,0,NG,,
40973,3,95,2021-04-25,RF,0,0,0,NG,,
40987,3,161,2021-04-14,RR,1,1,1,GN,,
41026,3,,2021-06-06,,0,0,0,NG,,
41044,3,109,2021-05-12,RF,0,0,0,NG,,
41073,3,202,2021-06-26,LF,0,0,0,NG,,
41198,3,144,2021-04-19,LF,1,1,1,GP,,
41208,3,187,2021-04-17,LR,0,0,0,NG,,
41413,3,259,2021-06-25,LR,0,0,0,NG,2021-07-04,SPECT5LR
41475,3,150,2021-06-20,LF,1,1,1,GN,2021-06-24,SPECT5LF
41482,3,242,2021-07-01,RF,1,1,1,GN,,
41532,3,165,2021-06-03,LF,0,0,0,NG,2021-06-07,SPECT5LF
41623,3,103,2021-04-13,RR,0,0,0,NG,,
41644,3,168,2021-06-15,BLOOD,0,0,0,NG,,
41727,3,95,2021-06-04,LF,1,1,1,MX,,
41830,3,78,2021-04-27,RF,1,1,1,GP,2021-06-24,SPECT5LF
41830,3,132,2021-06-20,LF,1,1,1,GN,2021-06-24,SPECT5LF
41836,2,,2021-04-06,,1,1,1,GP,,
41836,2,258,2021-05-05,RR,1,1,1,MX,,
41878,3,,2021-04-06,,1,1,1,GN,,
41878,3,114,2021-06-03,LF,0,0,0,NG,,
41895,3,43,2021-06-24,LF,1,1,1,GP,,
41968,3,134,2021-04-28,RF,0,0,0,NG,,
42066,2,249,2021-04-26,RF,1,1,1,GN,,
42140,2,355,2021-06-13,RF,1,1,1,GN,,
42458,3,232,2021-06-30,RR,0,0,0,NG,,
42478,2,332,2021-06-25,LF,1,1,1,GN,,
42480,2,341,2021-05-07,LR,0,0,0,NG,,
42498,2,264,2021-06-15,RF,0,0,0,NG,,
42578,3,60,2021-05-27,RR,0,0,0,NG,,
42897,2,269,2021-05-28,RR,1,1,1,MX,,
42921,2,310,2021-04-23,RR,0,0,0,NG,,
42922,2,275,2021-04-17,LF,0,0,0,NG,,
42947,2,201,2021-05-11,BLOOD,1,1,1,GP,,
42948,2,209,2021-04-22,LF,0,0,0,NG,,
42961,2,261,2021-05-08,LR,0,0,0,NG,,
43008,2,360,2021-07-04,RF,1,1,1,GP,2021-07-07,SPECT5RF
43068,2,346,2021-06-16,LF,0,0,0,NG,,
43127,2,128,2021-04-26,LR,0,0,0,NG,,
43316,2,175,2021-05-19,BLOOD,0,0,0,NG,,
43338,2,,2021-05-24,,0,0,0,NG,,
43370,2,54,2021-04-20,LF,1,1,1,GN,,
43370,2,91,2021-05-27,RR,0,1,0,GN,,
43460,2,140,2021-04-24,RF,1,1,1,MX,2021-04-27,SPECT5RF
43462,2,174,2021-06-11,LR,0,0,0,NG,,
43469,2,192,2021-05-01,RF,1,1,1,GN,,
43469,2,192,2021-05-01,LF,1,1,1,GN,,
