id,healthy,sick_days,first_day_in_milk,lactation_number
44923,false,7,2021-05-03,2
44981,false,30,2021-06-26,2
45024,false,4,2021-05-09,2
45056,false,4,2021-06-03,2
45226,false,4,2021-06-03,2
45257,false,4,2021-06-03,2
45263,false,8,2021-06-22,2
45279,false,6,2021-05-11,2
45329,false,4,2021-06-17,2
45344,false,11,2021-07-15,2
45369,false,8,2021-05-02,2
45370,false,7,2021-05-17,2
45376,false,3,2021-06-04,2
45422,false,4,2021-06-03,2
45423,false,5,2021-05-05,2
45440,false,8,2021-05-05,2
45447,false,7,2021-05-03,2
45454,false,5,2021-05-26,2
45538,false,30,2021-06-26,2
45539,false,5,2021-05-12,2
45610,false,8,2021-05-30,2
45657,false,6,2021-05-13,2
45674,false,5,2021-05-08,2
45677,false,6,2021-05-13,2
45686,false,8,2021-07-06,2
45718,false,8,2021-05-05,2
45754,false,5,2021-05-28,2
45755,false,6,2021-05-11,2
45808,false,4,2021-05-09,2
45831,false,8,2021-05-23,2
45851,false,10,2021-06-11,2
45855,false,6,2021-06-24,2
45865,false,12,2021-06-18,2
45890,false,5,2021-05-08,2
45907,false,7,2021-05-24,2
45954,false,9,2021-05-24,2
45986,false,15,2021-05-30,2
45990,false,12,2021-07-14,2
45998,false,8,2021-05-30,2
46006,false,6,2021-05-18,2
46083,false,5,2021-05-05,2
46109,false,7,2021-05-31,2
46110,false,30,2021-06-24,2
46152,false,3,2021-06-27,2
46164,false,4,2021-07-01,2
46180,false,5,2021-06-25,2
46188,false,8,2021-05-30,2
46231,false,8,2021-05-23,2
46236,false,8,2021-05-16,2
46290,false,4,2021-06-26,2
46328,false,6,2021-06-24,2
46484,false,17,2021-07-18,2
46548,false,30,2021-06-17,2
46639,false,7,2021-06-28,2
46681,false,7,2021-06-28,2
46706,false,5,2021-06-30,2
46733,false,9,2021-06-26,2
46841,false,12,2021-07-14,2
47404,false,18,2021-06-26,1
47716,false,30,2021-05-01,1
48275,false,14,2021-05-31,1
48567,false,24,2021-06-04,1
48593,false,26,2021-05-07,1
48645,false,10,2021-06-13,1
48667,false,26,2021-05-14,1
48672,false,16,2021-06-19,1
48695,false,20,2021-05-18,1
48703,false,15,2021-06-22,1
48736,false,28,2021-05-12,1
48749,false,12,2021-07-14,1
48755,false,18,2021-04-29,1
48757,false,27,2021-05-06,1
48857,false,20,2021-06-03,1
48863,false,25,2021-05-08,1
48905,false,17,2021-04-30,1
48906,false,12,2021-05-12,1
48919,false,15,2021-06-29,1
48932,false,18,2021-06-17,1
48947,false,18,2021-06-10,1
48953,false,17,2021-07-16,1
48966,false,25,2021-05-13,1
48969,false,24,2021-06-10,1
48973,false,16,2021-05-03,1
48987,false,26,2021-05-14,1
49000,false,24,2021-06-11,1
49004,false,17,2021-05-02,1
49011,false,15,2021-05-02,1
49017,false,20,2021-05-18,1
49029,false,12,2021-06-09,1
49038,false,21,2021-05-31,1
49045,false,22,2021-05-11,1
49059,false,13,2021-05-04,1
49064,false,30,2021-04-29,1
49068,false,13,2021-06-24,1
49072,false,18,2021-06-17,1
